code,description,emergency,year
C97-C97,Malignant neoplasms of independent (primary) multiple sites,630.0,2020-21
D00-D09,In situ neoplasms,167.0,2020-21
D10-D36,Benign neoplasms,8460.0,2020-21
D37-D48,Neoplasms of uncertain or unknown behaviour,6587.0,2020-21
D50-D53,Nutritional anaemias,31419.0,2020-21
D55-D59,Haemolytic anaemias,10348.0,2020-21
D60-D64,Aplastic and other anaemias,23782.0,2020-21
D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",6103.0,2020-21
D70-D77,Other diseases of blood and blood-forming organs,4965.0,2020-21
D80-D89,Certain disorders involving the immune mechanism,1067.0,2020-21
E00-E07,Disorders of thyroid gland,3898.0,2020-21
E10-E14,Diabetes Mellitus,49071.0,2020-21
E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,11834.0,2020-21
E20-E35,Disorders of other endocrine glands,4988.0,2020-21
E40-E46,Malnutrition,644.0,2020-21
E50-E64,Other nutritional deficiencies,1569.0,2020-21
E65-E68,Obesity and other hyperalimentation,518.0,2020-21
E70-E90,Metabolic disorders,69241.0,2020-21
F00-F09,"Organic, including symptomatic, mental disorders",32769.0,2020-21
F10-F19,Mental and behavioural disorders due to psychoactive subst.,45721.0,2020-21
F20-F29,"Schizophrenia, schizotypal and delusional disorders",14618.0,2020-21
F30-F39,Mood [affective] disorders,13307.0,2020-21
F40-F48,"Neurotic, stress-related and somatoform disorders",17266.0,2020-21
F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors,3977.0,2020-21
F60-F69,Disorders of adult personality and behaviour,5287.0,2020-21
F70-F79,Mental retardation,182.0,2020-21
F80-F89,Disorders of psychological development,690.0,2020-21
F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,1189.0,2020-21
F99-F99,Unspecified mental disorder,527.0,2020-21
G00-G09,Inflammatory diseases of the central nervous system,3821.0,2020-21
G10-G14,Systemic atrophies primarily affecting the central nervous system,1025.0,2020-21
G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,5947.0,2020-21
G30-G32,Other degenerative diseases (incl. Alzheimer).,4966.0,2020-21
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,2615.0,2020-21
G40-G47,Episodic and paroxysmal disorders,80144.0,2020-21
G50-G59,"Nerve, nerve root and plexus disorders",7575.0,2020-21
G60-G64,Polyneuropathies and other disorders of the peripheral nervous system,2437.0,2020-21
G70-G73,Diseases of myoneural junction and muscle,1266.0,2020-21
G80-G83,Cerebral palsy & other paralytic syndromes,3913.0,2020-21
G90-G99,Other diseases & disorders of the nervous syst.,12052.0,2020-21
H00-H06,"Disorders of eyelid, lacrimal system and orbit",3702.0,2020-21
